_id,施設ID,地域,緯度,経度,名称,概略,郵便番号,住所,電話番号,Fax番号,E-mail,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金,備考,リンク,電話受付,画像
1,12699,金沢市,36.577185,136.647628,金沢駅ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",ＪＲ金沢駅高架下通路,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/60784/371eab66ebbf57faab3750ab1d59c3d5.JPG
2,12700,金沢市,36.576554,136.649842,金沢駅東ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",市営本町２丁目自転車駐車場,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/31309/a07ce9e5a771bb3d4f7d46be61d86b5c.JPG
3,12701,金沢市,36.573312,136.654419,武蔵ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",市営武蔵暫定自転車駐車場,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/41468/9c1474d9def82065e44428a7d9e2d43d.JPG
4,12702,金沢市,36.570722,136.656975,近江町市場ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",市営十間町自転車駐車場,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日（税別）　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/54665/58c0adf5c0559630a69e4c8b9df1db83.JPG
5,12703,金沢市,36.571198,136.662652,金沢蓄音器館ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",金沢蓄音器館,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/12547/fd9dcd73eb071c1a08bb9df60a269f1b.JPG
6,12704,金沢市,36.574532,136.665891,東山Ｂ・馬場小学校前ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",東山交差点,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日（税別）","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/59772/f32dc830ff8148ce05783d7e678cd968.jpeg
7,12705,金沢市,36.571631266622,136.66598998546,東山Ａ・秋聲のみち,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0831 金沢市東山１丁目１８−１,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/40057/ce2f399261a9edcdf68aee6490896dcc.JPG
8,12706,金沢市,36.5710708,136.6671599,徳田秋聲記念館ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",徳田秋聲記念館,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,6500円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/38755/31bc0a7db71c6879083a46c801b22481.jpeg
9,12707,金沢市,36.566926,136.645188,長土塀青少年交流センターポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",長土塀青少年交流センター,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/46161/9bbe3b5c9cbbf8c193edebe739b85487.JPG
10,12708,金沢市,36.566517,136.65187,文化ホールポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",文化ホール,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/08947/87e799e4c54968ca35c5d4ba9aa347b6.JPG
